                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.34765,                0.28038,                0.81923,                0.88422,                0.91261,                 0.9369,                0.89039,                0.34145,                0.42952,                0.82841,             0.00023121,             0.00023121,             0.00023121
                     90,                0.36449,                0.29589,                0.83392,                0.88715,                0.90802,                0.94029,                0.89529,                0.33863,                0.42724,                 0.8281,             0.00021471,             0.00021471,             0.00021471
                     91,                0.32207,                   0.25,                0.80103,                 0.8905,                0.90477,                0.95297,                0.90691,                   0.34,                0.43497,                0.82909,             0.00019821,             0.00019821,             0.00019821
                     92,                0.31965,                0.26387,                0.80003,                0.91094,                0.88861,                0.94469,                0.89957,                0.33872,                0.42892,                0.82498,              0.0001817,              0.0001817,              0.0001817
                     93,                 0.3251,                0.25533,                0.80264,                0.90411,                0.90485,                0.94413,                0.89503,                0.34114,                0.41369,                  0.823,              0.0001652,              0.0001652,              0.0001652
                     94,                0.31997,                0.25212,                0.79946,                0.89765,                0.90479,                0.92906,                0.88333,                0.33638,                0.41652,                0.82197,              0.0001487,              0.0001487,              0.0001487
                     95,                0.31832,                0.24699,                0.79507,                0.89791,                0.89726,                0.94146,                0.89466,                 0.3367,                0.42578,                0.82036,             0.00013219,             0.00013219,             0.00013219
                     96,                0.31816,                0.24429,                0.79962,                0.89728,                0.90834,                0.94791,                0.90137,                0.34015,                 0.4231,                0.82969,             0.00011569,             0.00011569,             0.00011569
                     97,                0.31612,                0.24299,                0.80228,                0.90486,                0.89107,                0.94203,                 0.8989,                0.33031,                0.42203,                0.81638,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.31059,                0.23316,                0.79806,                0.90308,                0.89196,                0.94203,                0.89841,                 0.3273,                0.43025,                0.81149,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.31473,                0.23713,                0.80003,                0.89219,                0.90835,                0.94221,                0.89598,                0.33201,                0.43471,                 0.8115,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.30541,                0.23192,                0.79568,                0.91188,                0.89116,                0.94268,                0.89746,                0.32697,                0.42818,                0.81232,             4.9677e-05,             4.9677e-05,             4.9677e-05
